ID,Reviews,Sentiment
1549,এক কথাত কবলৈ গলে নেচাৰেল লাভ ইউৰ দৰে নাটক এখন উপস্থাপন কৰিলে বৰ ভাল লাগে,positive
1550,নাটকখনৰ সমাপ্তি ভাল নাছিল,negative
1551,মই জোছ হোইজ নাটকখন বহুত ভাল পাও,positive
1552,"সাস্কৃতিক ক্ষেত্ৰখনৰ অৱনতি কি, মন্তব্যকাৰীসকলে সুধিলে আৰু পঢ়িলে কিছুমান মানুহৰ গাঞ্জা হা হা হা হা খাবলৈ মন যায়",negative
1553,"বহুদিনৰ পিছত, মই মোৰ প্ৰিয় নাটক যুটিটো ভাল পাইছিলো",positive
1554,মই কোনো লৰাক কেনেকৈ বেয়া পাও নাজানো,negative
1555,মই প্ৰাৰ্থনাটো বৰ ভাল পাও,positive
1556,ইমান মূৰ্খামি নাটক! চিহ,negative
1557,জীৱনত দেখা শ্ৰেষ্ঠ নাটক,positive
1558,ইনচাল্লাই পুনৰ নিশো ভাই পুৰস্কাৰ লাভ কৰিব আৰু মেহজাবিনে ভাল প্ৰদৰ্শন কৰিব,positive
1559,শ্বাৱাৰ ড্ৰামা,negative
1560,মেহজাবিয়েনৰ ভনীয়েক বৰ মৰমলগা,positive
1561,জটিল নাটক,negative
1562,এই নাটকখন মই দেখা শ্ৰেষ্ঠ নাটকৰ ভিতৰত অন্যতম হবশেষ দৃশ্যটো আচৰিত আৰু নিশো ভাইৰ প্ৰতি বহুত মৰম,positive
1563,নাটকখন অত্যন্ত মূৰ্খামি,negative
1564,"নিশো বছ, আপুনি শ্ৰেষ্ঠ",positive
1565,"এইখন এখন নাটক, ই এক সম্পূৰ্ণ গোট",negative
1566,নাটকখন চোৱাটো সচাকৈয়ে আশ্চৰ্যজনক!,positive
1567,মাডাচোড ব্ৰেণ্ড ড্ৰামা মেডাটোষ্ট ব্ৰেণ্ড ডাইৰেক্টৰ ৰাম ছাগলী ব্ৰেণ্ড সকলো অভিনেতা,negative
1568,মজাৰ নাটক,positive
1569,ভাল লাগিল নাটক,positive
1570,"কি এক বিমূৰ্ত সমাপ্তি, মানুহ ছোৱালীজনীৰ অভিনয়ে কেতিয়াবা ইগিত দিছিল নেকি যে তাই কেতিয়াবা নিশোৰ প্ৰেমত পৰিছিল! আগতে তেও বেয়া আছিল, তেও মূৰ্খ আছিল সেয়েহে তেও ব্ৰেক আপ কৰিছে, এতিয়া তেও চুলিত ৰ পাইছে, তেওৰ টকা আছে, সেয়েহে তেও উভতি আহিব বিচাৰে আৰু নিশোৱে সন্মত হল, অদ্ভুত",negative
1571,"নাটকখন দুৰ্দান্ত, কিন্তু আৱেগিকভাৱে দুখ যে শেষত কোনো মিল নাই!",positive
1572,"অপূৰ্ব ভাইৰ নামৰ দৰে এনে ৰোমাণ্টিক নাটক উপস্থাপন কৰাৰ বাবে আৰিয়ান ভাইক বহুত ধন্যবাদ, যেনে আশ্চৰ্যকৰ নাটক, সকলো ধুনীয়া নাটক",positive
1573,নিশো ভাই শ্ৰেষ্ঠ,positive
1574,"বিশ্বৰ শ্ৰেষ্ঠ নাটক মোৰ দেশত নিৰ্মাণ কৰা হয়, মোৰ 2019 AKK আচো কুপন বুলি কবলৈ কোনো ভাষা নাই",positive
1575,"গোটেই নাটকখন চাওক, অশ্লীল বুলি কওক আৰু গুচি যাওক, সকলোকে ধন্যবাদ",negative
1576,"কোৱা বাহুল্য, এই নাটকখনৰ সৈতে বহুতো বস্তু থকাটো ভাল",positive
1577,বহুতো নাটকত এতিয়া নায়ক আৰু নায়িকাই প্ৰাৰ্থনা কৰাৰ দৃশ্য আছে,positive
1578,এই নাটক আচৰিত,positive
1579,এয়া ভাষা প্ৰকাশ কৰাৰ দৰে নহয়. কেৱল অতুলনীয়,positive
1580,"বহুদিনৰ পিছত, মই নিশো ভাইৰ এখন সুন্দৰ নাটক চাইছিলো!",positive
1581,"নাটকখন দুৰ্দান্ত, কিন্তু চিগাৰেট সেৱন কৰাটো ভাল নহয়",negative
1582,"অমৰ জীৱন হোনে কা নাটক দেখলাম, মই কেতিয়াও এই নাটকৰ দৰে বেয়া নাটক দেখা নাই আৰু মই কেতিয়াও বাজি টুৰ দৰে নাটক এখন দেখা নাই যি এখন নাটক হলে ভাল হলহেতেন",negative
1583,"প্ৰেম এনে এটা বস্তু যাৰ পথত একোৱেই বাধা নহয় আৰু যদি আপুনি প্ৰেম কৰে, আপুনি এনেদৰে জীয়াই থাকিব লাগিব যে প্ৰেমে ইয়াক পৃথক কৰিব নোৱাৰে কেৱল এক ঈশ্বৰৰ বাহিৰে",positive
1584,ভাল লাগিছে,positive
1585,খেলি আছে,negative
1586,"জীৱনৰ প্ৰেম দীৰ্ঘজীৱী হওক, সকলোৰে বাবে প্ৰাৰ্থনা কৰক",positive
1587,এইখন এখন উন্মাদ নাটক গোটেই কাপটো নাইকিয়া হল.,negative
1588,মই তিথিক বহুত ভাল পাও,positive
1589,"সকলোৱে নাটকখনক অদ্ভুত বুলি কৈছে, কিন্তু মই অলপো ভাল অনুভৱ কৰা নাছিলো, মানুহে মনোৰঞ্জনৰ বাবে নাটক চায়, কিন্তু এই নাটকত, কিছুমান ভাষা ব্যৱহাৰ কৰা হৈছে যি কোনো প্ৰকাৰে মনোৰঞ্জনৰ সৈতে নপৰে! সেই ভাষাবোৰত, আমি নিউট শব্দটো ব্যৱহাৰ কৰো, কিন্তু কিছুমান শব্দ আছে যাক নিউট শব্দটোৰে কব নোৱাৰি! পঢ়ি থাকোতে এনে ধৰণৰ নাটক চোৱা হয় নেকি?",negative
1590,"চি চি আফ্ৰন নিশো ভাই, মই আপোনাৰ পৰা এনে নাটক আশা নকৰো, যদি আপুনি নোৱাৰে, আপুনি নিজৰ যত্ন লব",negative
1591,"ভাই, অনুগ্ৰহ কৰি বাস্তৱৰ সৈতে খাপ খাওক",negative
1592,এখন ডাঙৰ নাটক,positive
1593,"উৎপীড়ন, দুষ্ট",negative
1594,এইটো বহুত ভাল আছিল,positive
1595,"এক কথাত, বিস্ময়কৰ আৰ্যন ভাইলৈ অশেষ ধন্যবাদ",positive
1596,বিস্ময়কৰ. কি ছবি বালাদেশৰ শ্ৰেষ্ঠ নাটক,positive
1597,মাৰাত্মক,negative
1598,"দৰাচলতে, নাটকখন বৰ ভাল, তেওলোক তিনিওটাই বৰ ধেমেলীয়া",positive
1599,বৰ ধুনীয়া,positive
1600,এইখন হৈছে সৰ্বশ্ৰেষ্ঠ নাটক মই নিশু ভাইৰ অভিনয় বহুত ভাল পাও,positive
1601,এখন কঠিন খেল?,positive
1602,"তোমাৰ নাটকত কোনো অশ্লীল ভাষা নাই আৰু তিশা, পোছাকযোৰ ইমান বেয়া",negative
1603,মই অশ্লীল মন্তব্য আৰু ভগীমা নকৰা হলে ভাল হলহেতেন,negative
1604,এইখন এখন মহান নাটক,positive
1605,মোৰ প্ৰিয় নাটক,positive
1606,"কোৱা বাহুল্য যে গুৰুদেৱ শ্ৰেষ্ঠ আছিল, তেও মোৰ মনত সদায় থাকিব দুৰ্দান্ত ভাই, সচাকৈয়ে আশ্চৰ্যজনক",positive
1607,জীৱনত দেখা আটাইতকৈ বেয়া নাটকৰ ভিতৰত আইদাই প্ৰথম স্থান দখল কৰিছে?,negative
1608,নাটকত শিশুটিৰ কাহিনীত অভিনয় কৰা,negative
1609,"আটাইতকৈ ধুনীয়া কথাটো হল প্ৰাৰ্থনা জীৱনৰ শৈলী, দেখিবলৈ বহুত ধুনীয়া লাগিছে, পৰিচালকক ধন্যবাদ",positive
1610,মিজানুৰ ৰহমান আৰিয়ান ভাইৰ নাটকত আৰফান নিশু ভাইৰ অভিনয় বাশ্বৰৰ অন্যতম শ্ৰেষ্ঠ নাটক,positive
1611,"নাটকখন বৰ ভাল,",positive
1612,"মই সচাকৈয়ে ভাল পাইছিলো, চাজ্জাদ ভাই আৰু চামিম ভাই চাবিলা নুৰ, সচাকৈয়ে বঢ়িয়া",positive
1613,"মই নাজানো যে চিন্তাটো অলপ শুকান হয়, মই ভাবো ই কেইদিনমান নহব",negative
1614,গোটেই নাটকখনত এটা কথা স্পষ্ট হৈ পৰিছিল প্ৰাৰ্থনাৰ বাৰ্তা,positive
1615,"মই ভবা নাছিলো যে আপোনাৰ নাটকখন ইমান ভাল হব, সমাপ্তিটো সুন্দৰ আছিল আগুৱাই যোৱা",positive
1616,"তাত যথেষ্ট আৱেগিক স্পৰ্শ আছিল, মই ইয়াৰ বিষয়ে আটাইতকৈ ভাল পোৱা কথাটো হল যে ই ইয়াত প্ৰাৰ্থনা কৰিবলৈ অনুপ্ৰাণিত হৈছিল তেওৰ বাবে শুভকামনা",positive
1617,আছিল শ্ৰেষ্ঠ,positive
1618,"ধন্যবাদ আৰিয়ান ভাই, এনেকুৱা ধুনীয়া নাটক উপহার দেওয়ার জন্য,",positive
1619,উত্তম আপোনাৰ প্ৰথম প্ৰেমক নাপাহৰিব,positive
1620,অসম্ভৱভাৱে বিৰক্তিকৰ,negative
1621,নাটকখনে কি নাম দিছে তাক লৈ পৰিচালকজন হতাশ হৈছে নামৰ সৈতে কোনো মিল নাই,negative
1622,অস্থিৰ নাটক বাবাই শমিমক ভাল পোৱা সকলক ভাল পায়,negative
1623,এইটো এটা বেলেগ কাহিনী. অনুষ্ঠানটো দেখি ভাল লাগিল. মই পলাশৰ অভিনয় বহুত উপভোগ কৰিছিলো.,positive
1624,"এক কথাত, নাটকখন আশ্চৰ্যকৰ আৰু শিক্ষামূলক আছিল, সেয়েহে আহক আমি সকলোৱে দিনটোত পাচবাৰকৈ প্ৰাৰ্থনা কৰো আৰু আমাৰ জীৱন সলনি কৰো",positive
1625,মই এতিয়ালৈকে চোৱা আটাইতকৈ ভাল নাটকখন হল মোৰ ভাইটিৰ প্ৰতি থকা বহুত ভালপোৱা,positive
1626,বাস্তৱ জীৱনত এই প্ৰাৰ্থনা অতি গুৰুত্বপূৰ্ণ প্ৰথমে প্ৰাৰ্থনাৰ হিচাপ কৰা হব,positive
1627,আপোনাৰ অনুষ্ঠানটো সকলোৰে সৈতে চোৱাৰ যোগ্য নহয় অসামাজিক পোছাক ইয়াৰ প্ৰকৃত কাৰণ পাৰিলে কিবা ভাল কৰক যাতে মানুহে কিবা এটা ভাল শিকে,negative
1628,মই এইটো বহুত ভাল পাইছিলো,positive
1629,বান্না মাগিৰ পোলাই লুচ্চা খানকীৰ পোলাৰ দৰে লুচা নাটক নিৰ্মাণ কৰি আছে,negative
1630,মই এটা সুন্দৰ শ্ব দেখিছিলো!,positive
1631,মই কও যে জেচোৰৰ পুলা বৰ ধুনীয়া,positive
1632,"হেৰা লৰাছোৱালীবোৰ মই তেওলোকক কি কম, দিমু খানকীৰ লৰাছোৱালীয়ে পিনাটৰ ভূদাৰ ভাষাৰ সন্ধানত আছে, তেওলোকৰ মাকৰ শিৰোনাম",negative
1633,"তেওক এটা মবিল দিয়াৰ পৰিৱৰ্তে, তেও কঠালৰ আঠাৰে পাকটো আঘাত কৰিব লাগিব যাতে গোটেই জীৱন তেওৰ পুটকীৰ পৰা বৃদ্ধি ওলাই নাহে",negative
1634,নাটক যদিও ষ্টাৰ জালছা ধাৰাবাহিক চোৱাটো ইয়াতকৈ বহুত ভাল,negative
1635,মুছাৰফ মিয়াৰ দিন শেষ হোৱা যেন লাগিছে,negative
1636,মোশ্বাৰফ কৰিমৰ অভিনয়ত প্ৰথমবাৰৰ বাবে এক মূৰ্খ নাটক,negative
1637,বৰ ভাল লাগিল,positive
1638,বহুত ভাল নাটক,positive
1639,২০১৯ চনৰ শ্ৰেষ্ঠ নাটক ?,positive
1640,মই জেৰিক এবাৰ লগ পোৱা হলে ভাল হলহেতেন আটাইকেইখন নাটকতে ধুনীয়া আৱেগবোৰ ব্লেকমেল.,positive
1641,মই আপুব্যাৰ ওচৰত কৃতজ্ঞ যে মই তাইৰ নাটকবোৰ বহুত ভাল পাও,positive
1642,"নাটকখনৰ নাম মোৰ সলনি আপুনি বাবুল সি হলে ভাল হলহেতেন, বাবুল সি",positive
1643,সুন্দৰ নাটক,positive
1644,অৱশেষত ভণ্ডামিৰ বিজয় ?,negative
1645,তেও শ্ৰেষ্ঠসকলৰ ভিতৰত আছিল,positive
1646,"উৎকৃষ্টকিছুমান ঠাইত গালিগালাজ দেখা গল, সেইবোৰ আতৰাই পেলোৱা হলে ভাল আছিল",positive
1647,অপূৰ্বৰ নাটক কোৱাৰ প্ৰয়োজন নাই,positive
1648,আচৰিত আছিল,positive
1649,অৰ্থহীন নাটক,negative
1650,অসাধাৰণ,positive
1651,"নিশু ভাই মায়াৰ সৰু ভনীয়েকজনো বৰ ধুনীয়া আছিল আপুনি তেওক চালে ভাল হলহেতেন, হয়তো ই ইমান কাহিনী নহলহেতেন",positive
1652,মই এজন ভাৰতীয় কিন্তু মই বালাদেশৰ নাটক নেদেখিলে শুব নোৱাৰো অপূৰ্ব দা মোৰ ফেভ . আমাৰ কলকাতা টলিউডতকৈ নাটকবোৰ বহুত বেছি ধুনীয়া,positive
1653,শেষৰ ফালে ইমান ভাল লাগিল,positive
1654,বৰ ধুনীয়া,positive
1655,তিশাৰ অশালীন পোছাক,negative
1656,বহুতো সুন্দৰ নাটক mn,positive
1657,দুৰ্দান্ত নাটক আপুনি কৰিব পাৰে আৰু মিজানুৰ ভাই,positive
1658,এইখন এখন বৰ ধুনীয়া নাটক,positive
1659,"সকলোৱে পৰিচালকৰ মুখত গৰুৰ গোবৰ দলিয়াই আছে, আপুনি নাটক নকৰে, আপুনি দেখিব যে আপুনি সোনকালেই এজন ডাঙৰ মানুহ হৈ পৰিব,",negative
1660,যদি আপুনি ইমান অশ্লীল কাম কৰে তেন্তে নিশু জনপ্ৰিয় হব বঙালী নাটকত নিশু আৰু তিশা লেতেৰা,negative
1661,মহান নাটক,positive
1662,"এনে অশ্লীল ভাষাৰ ব্যৱহাৰ বাঞ্ছনীয় নহয়, মই আশা কৰো নাট্যকাৰে বুজি পাব",negative
1663,মূৰ্খ নাটক,negative
1664,আপোনাক ইমান ধুনীয়া নাটক উপহাৰ দিয়াৰ বাবে আৰিয়ান ভাইক বহুত ধন্যবাদ,positive
1665,"মই মন্তব্য কৰিবলৈ এটা ভাষা বিচাৰি পোৱা নাই এক কথাত কবলৈ গলে, অতুলনীয়",positive
1666,মই এই নাটকখনৰ বাবে অপেক্ষা কৰি আছিলো মোৰ বৰ ভাল লাগে সকলোলৈ ঈদ মুবাৰক,positive
1667,"খেলক, টাইম খেলপথাৰত আছে",negative
1668,শ্ৰেষ্ঠৰ শ্ৰেষ্ঠ.,positive
1669,"বঙালী নাটক মোছাৰফ কৰিম গ ৰায়ৰ গোৱা,",negative
1670,এনে এখন শিশুসুলভ নাটক কৰি থাকোতে মোছাৰফ নিজেই মূৰ্খ হৈ পৰিছিল,negative
1671,মই এই নাটকখনত যিমান হাহিছো সিমান নাহাহো মই গোটেই সময়টো শ্বামিম ভাইৰ অভিনয় উপভোগ কৰিছিলো,positive
1672,বৰ ভাল লাগিল,positive
1673,এতিয়া মোছাৰফ কৰিমৰ নাটক চোৱাটো সময়ৰ অপচয়ৰ বাহিৰে আন একো নহয় এয়া সকলো লৰাপাহৰণ,negative
1674,এই প্ৰহেলিকাটোৱে কিয় নাইকাক নাটকত লৈ গল?,negative
1675,মই এইটো ভাল নাপাও,negative
1676,ইমান ধুনীয়া নাটক এখন উপহাৰ দিয়াৰ বাবে মিজানুৰ ৰহমান ভাইক ধন্যবাদ মই ভৱিষ্যতে আৰু অধিক দেখিবলৈ আশা কৰো,positive
1677,বেয়া ইমান বেয়া নাটক কোৱাৰ বাহিৰত,negative
1678,"মই মূৰ্খ কাহিনী, মূৰ্খ নিৰ্মাণ এই নাটকসমূহৰ বাবে দিনক দিনে বঙালী নাটকৰ মান কমি আহিছে",negative
1679,"এইবাৰ 5 বাৰ হৈছে,লভ দ্য বছ,অপূৰ্ব ভাইয়া",positive
1680,হৃদয়স্পৰ্শী নাটকতকৈ কম একো নহয়,positive
1681,নাটকখন বহুত ধুনীয়া আৰু ভালকোনো বেয়া গালিগালাজ নাথাকিলে আৰু ধুনীয়া হলহেতেনআমাৰ বালাদেশী নাটকখন সমগ্ৰ বিশ্বতে বহুত ধুনীয়া আৰু ভালধন্যবাদ প্ৰিয় নিশু ভাই আৰু তিশা আপু আৰু পৰিচালকক,positive
1682,বিস্ময়কৰ.,positive
1683,এনেদৰেই সচা প্ৰেম,positive
1684,গ্ৰেট নাটক,positive
1685,লেখক আৰু পৰিচালক দুয়োজনেই মূৰ্খ,negative
1686,"এইবোৰ অভিনয় নহয়, ভণ্ডামি আৰু মই কাহিনীটো এৰি দিলো!",negative
1687,"মই তেওৰ নাটকৰ ভাষা বিচাৰি পোৱা নাই, মই ব্যাখ্যা কৰিব নোৱাৰো যে মই তেওৰ বাবে ইমান পাগল",negative
1688,সুন্দৰ হৈ আহিছে,positive
1689,মই দেখা আটাইতকৈ বেয়া নাটক,negative
1690,মই এই নাটক বা মোৰ জীৱনৰ কাহিনী ভাল পাও,positive
1691,এইটো এটা কাহিনী,negative
1692,"বাল পালানীৰ নাটক এনেকুৱা এখন নাটক, মই নিশু ভাইৰ পৰা এনে নাটক আশা নকৰো",negative
1693,ই খুবেই ভাল অনুভৱ কৰে মনটো ভাল আছিল দুৱা হল আফ্ৰান নিশু ভাই,positive
1694,"আনকি আমি প্ৰেম হেৰুৱালেও, বন্ধুত্ব গোটেই জীৱন আমাৰ সৈতে থাকে মই প্ৰাৰ্থনা কৰিবলৈ নিমন্ত্ৰণ ভাল পাইছিলো সচাকৈয়ে, আফ্ৰন ভাই আৰু তিছা অপু, আপোনালোকৰ প্ৰতি মৰম বৃদ্ধি পাইছে",positive
1695,নাটকখন সুন্দৰ প্ৰেমত সেয়াই ঘটে বিশেষকৈ যেতিয়া সহপাঠীৰ কথা আহে,positive
1696,মোৰ মূৰটো সম্পূৰ্ণ হেৰাই গৈছে.মামা,negative
1697,নাটকখনৰ নাম আছিল ১৮ আড্ডাবাজ সকলো লেতেৰা কথা,negative
1698,সুন্দৰ নাটক,positive
1699,"এটা কথা হল এছ এছ চিৰ পিছত, স্কুলত স্কুলৰ পোছাক কি? গতিকে কাহিনীটো শুদ্ধ আছিল.",negative
1700,প্ৰিয় অভিনেতা আফ্ৰান নিশো আৰু মৰমৰ অভিনেত্ৰী তানজিন তিছাৰ নাটকৰ অৰ্থ এক শব্দত অসাধাৰণ,positive
1701,বেয়া নাটক,negative
1702,আমি মনোৰঞ্জনৰ জগতত এনে এটা ধুনীয়া কাহিনী বিচাৰো.,positive
1703,"মই মন্তব্য নকৰাকৈ থাকিব নোৱাৰিলো, প্ৰাৰ্থনাৰ কথাটো বহুত ভাল, ধন্যবাদ পৰিচালক কে এল ভি ইউ নিশো ভাই. আপোনালোক সকলোকে এলভি কৰা",positive
1704,"পুৰণি কাহিনী, এনে কাহিনীক লৈ বহু নাটক হৈছে কিন্তু অভিনয় বৰ ভাল হৈছে",positive
1705,"সম্পূৰ্ণ গঞ্জাখুৰী নাটক, আজেবাজে কথা",negative
1706,হুপ বোকা নাটক,negative
1707,"নাটকখন বৰ সুন্দৰ আছিল, মই ইয়াক মনোযোগেৰে চাইছিলো",positive
1708,"Dhruba কথাত কবলৈ গলে নাটকখনৰ কাহিনী ইমান সুন্দৰ আৰু প্ৰাৰ্থনাৰ বাৰ্তা হৈছে নাটকখনৰ আটাইতকৈ অনন্য আৰু মনোমোহা নিশো ভাইৰ অভিনয়ে তেওৰ পূৰ্বৰ সকলো কামক পিছ পেলাই দিছে, অভিনয়ত কিমান অসাধাৰণ সাৱলীলতা অৱশ্যে, নাটকখনত কিছুমান বাস্তৱতা আছে যেনে বন্ধু হিচাপে আৰ্কনিশ্বো, এগৰাকী যত্নশীল কিন্তু জোৱায়েক হিচাপে নাজিয়াতিশা, মই তেওৰ দৰে মদনক বিয়া কৰাব নোৱাৰো বাস্তৱ জীৱনত এয়া এনেদৰেই ঘটে নাটকখনত এনেধৰণৰ ধাৰণা মই প্ৰথমবাৰৰ বাবে দেখিছো খেলখনে সামগ্ৰিকভাৱে ১০ ৰ ভিতৰত ১০ টা পোৱাৰ যোগ্য",positive
1709,মই এইটো ভাল পাইছিলো,positive
1710,নাটকখন সুন্দৰ আছিল,positive
1711,"মাব্ৰুৰ ৰছিদ বান্না চাহিবৰ মূৰত গৰুৰ গোবৰৰ বাহিৰে আন একো নাই, তেওৰ পৰা একো ভাল আশা কৰা নহয়৷ জনপ্ৰিয় অভিনেতা আফ্ৰান নিশোৱে কাহিনীটো ভালদৰে পঢ়িব লাগে আৰু তাৰ পিছত বেয়া কাহিনীত অভিনয় কৰি নাটকত চুক্তি কৰিব লাগে, অৰ্জন কৰা খ্যাতি আৰু জনপ্ৰিয়তা কমি আহিছে! মৰমৰ নিশো ভাই যিয়ে আজাইৰাৰ আটাইবোৰ কাহিনীত অভিনয় কৰিছে",negative
1712,এইখন এখন সম্পূৰ্ণ নিৰ্বোধ নাটক,negative
1713,বালৰ তিশাই কিয় সকলো নাটক গ্ৰহণ কৰে,negative
1714,নিশো মানে ভাল কিবা এটা,positive
1715,এক আচৰিত নাটক,positive
1716,"নাটকখন আশ্চৰ্যকৰ আছিল,মনটোৱে প্ৰাৰ্থনাৰ বাবে বেছিকৈ কান্দিছিল, আৰু প্ৰিয় পৰিচালক আৰু প্ৰিয় যুটি, কামাল পলাশৰ সৈতে,",positive
1717,"দৰাচলতে, নাটকখনত প্ৰাৰ্থনাৰ দৰে এক গুৰুত্বপূৰ্ণ বাৰ্তা আছিল পৰিচালক অমি ভাইক ধন্যবাদ আশা কৰো, এই ধৰণৰ কাম অব্যাহত থাকিব",positive
1718,"নাটকখন সুন্দৰ, বাদুলীৰ প্ৰাৰ্থনাৰ নিমন্ত্ৰণ অতি সুন্দৰ. মই প্ৰাৰ্থনা কৰো যে পৰৱৰ্তী নাটকখন এনেধৰণৰ কিবা হওক",positive
1719,বহুতো ধুনীয়া নাটক,positive
1720,এইখন বেলৰ নাটক একেবাৰে ধুনীয়া নহয়,negative
1721,বৰ ভাল লাগিছে,positive
1722,প্ৰাৰ্থনাৰ বাৰ্তাটো ভাল আছিল আৰু নাটকৰ বাকী অশটো সম্পূৰ্ণ অৰ্থহীন,positive
1723,গৰম মচলাৰ সৈতে আপোনাক এনে এখন নাটক উপহাৰ দিয়াৰ বাবে জিয়াউৰ হক পলাশক ধন্যবাদ এইটো ভাল আছিল,positive
1724,সচাকৈয়ে মহান নাটক,positive
1725,"মোৰ বহুত আশা আছিল, নিশু ভাইয়ে মোৰ নামেৰে এখন নাটক কৰিব, আজি সেই আশা পূৰণ হল,নাটকখন সুন্দৰ আছিল",positive
1726,একেবাৰে আৱৰ্জনা নাটক,negative
1727,পৰিচালকৰ 100 ষাড় ব্ৰেণ্ড,negative
1728,"যদি আপুনি এটা ডেটত মাৰিজুৱানা পান কৰাৰ পিছত নাটক এখন লিখে, নাটকখন এনেধৰণৰ",negative
1729,মই নাটক নিৰ্মাতাসকলক এখন নাটক বনাবলৈ অনুৰোধ কৰিব বিচাৰো যিখন মই পৰিয়ালৰ সৈতে চাব পাৰো সমাজক ৰক্ষা কৰাটো সকলোৰে দায়িত্ব অশ্লীলতা কেতিয়াও বঙালী সস্কৃতিৰ অভিব্যক্তি হব নোৱাৰে,negative
1730,"নাটকৰ পৰিচালকক জোতাৰ মালা দিব লাগে, খানকীৰ পোলাই সমাজ ধ্বস কৰিবলৈ এই নাটক নিৰ্মাণ কৰিছে নেকি",negative
1731,বৰ ভাল কাহিনী আছিল,positive
1732,"নাটকৰ সামৰণি কেনেকুৱা হব মই বুজি পোৱা নাই, গীতটিত ফুল দিয়ক, আকৌ এবাৰ মোৰ মৰমৰ ৰাইজলৈ ঈদ মুবাৰক শুভেচ্ছা জনাইছো নিশো ভাই, কবিলা জিয়াউল হক পলাশ ভাই আমি ভাই কে",positive
1733,ইমানবোৰ বোকা নাটক,negative
1734,এইটো চাবলৈ এক সুন্দৰ শ্ব! শ্বামীম ভাই শ্ৰেষ্ঠ,positive
1735,"ইউটিউব এতিয়া আৰু ইউটিউব হৈ থকা নাই, এতিয়া ইউটিউব এডটিউব হৈ পৰিছে",negative
1736,মই তাহচানৰ পৰা ইমান বেয়া নাটক আশা কৰা নাছিলো. অৰ্থহীন,negative
1737,"এইখন এখন অতি সুন্দৰ নাটক, কিন্তু আটাইতকৈ ডাঙৰ কথাটো হল যে এই নাটকত প্ৰাৰ্থনাৰ বিষয়ে আলোচনা কৰা হৈছে? অতি ন",positive
1738,আটাইতকৈ ধুনীয়া নাটকসমূহৰ ভিতৰত এখন. তেও আজিৰ দৰে কিয় ভাল নাপায়?,positive
1739,"নাটকখন দুৰ্দান্ত, কিন্তু জীৱনটো অলপ কম হলে ভাল হলহেতেন",positive
1740,ইমান ধুনীয়া নাটক এখন দিয়াৰ বাবে পৰিচালকক ধন্যবাদ,positive
1741,"হা হা হা, ছোৱালীজনীৰ অৱস্থা যদি আপোনাৰ হাতত ধন নাই, আপুনি অযোগ্য আৰু যদি আপোনাৰ ওচৰত এয়া নাই, ই গ্ৰহণযোগ্য",negative
1742,আচলতে আপুনি শকত,negative
1743,বৰ ধুনীয়া আছিল,positive
1744,তঞ্জিন তিশা আপু আৰু নিশো ভাইয়াই বৰ ভাল লাগিল.,positive
1745,"নিছো ভাইয়ে মেহজাবিন অপুৰ সৈতে সকলো ধৰণৰ অভিনয় জানে মিজানুৰ ৰহমান আৰিয়ানৰ দ্বাৰা পৰিচালিত নাটকখন ইমান ৰোমাণ্টিক হোৱাৰ কাৰণ, ইমান ধুনীয়া নাটক এখন উপস্থাপন কৰাৰ বাবে আপোনাক বহুত ধন্যবাদ ধন্যবাদ ভাই",positive
1746,মই ভাল পোৱা ব্যক্তিজনৰ বাবে মই এই নাটকখন চাইছিলো হয়তো তেওৰ অজ্ঞাত মই তোমাক বহুত বেছি ভাল পাও,positive
1747,২০১৯ চনৰ শ্ৰেষ্ঠ অভিনেতা হৈছে আমাৰ নিশো ভাই,positive
1748,হাৰাম জাদা ডাইৰেক্টৰ. কুকুৰটো যদি কেচুৱা নহয় তেন্তে আন এটা কুকুৰৰ নাম ফাহিম কিয় দিব লাগে আপুনি নিজৰ নামটো দিব পাৰিলেহেতেন. মূৰ্খটো কত.,negative
1749,"বৰ ভাল ভাই,পৰৱৰ্তী শ্বৰ বাবে বাট চাই আছো,",positive
1750,শাৰী পিন্ধি বহাৰ লগে লগে মই শাৰীখন বুজি নাপালো,negative
1751,"নাটকখন দেখিলো, আচৰিত আছিল, নিশু ভাই মোৰ পছন্দৰ এজন আচৰিত ব্যক্তি আৰু তিশা, তোমাৰ মুখখন মই পাহৰিব নোৱাৰো",positive
1752,মই সেই সময়ত ৱেষ্ট শ্বাউনৰ ডাঙৰ অনুৰাগী আছিলো কিন্তু এইটো এটা নাটক,negative
1753,"মুঠতে, টাগাইলাৰ সৈতে অতুলনীয়",positive
1754,আপোনাৰ ইমানবোৰ বিজ্ঞাপন কিয় আছে?,negative
1755,বাহ.এখন আচৰিত নাটক শেষ মুহূৰ্তলৈকে বুজিলো কিয় নিশুৱে তাঞ্জিনক বিয়া কৰাব নিবিচাৰে? সচা মৰম.,positive
1756,মই মোৰ জীৱনত দেখা আটাইতকৈ আৱেগিক ৰোমাণ্টিক নাটক,positive
1757,"বঙালী চিনেমাৰ দৰে একে চিত্ৰনাট্যৰে আপুনি আৰু কিমানখন নাটক নিৰ্মাণ কৰিব? যদি আপুনি কিবা নতুন কৰিব নোৱাৰে, আপুনি নাটক বনোৱা বন্ধ কৰে",negative
